cur_index, vanilla, stacked, bidirectional, all_models, no_models
24,1017505.3994255275,1011530.6056276681,1017829.3236698313,1017829.3236698313,1020053.9345882778
25,1016210.8968419656,1012550.9316045326,1018856.0031327927,1016534.4089795902,1022383.5667478705
26,1018701.7291400135,1012719.9104916103,1019026.0342375282,1019026.0342375282,1022554.1865477079
27,1018701.7291400135,1012719.9104916103,1019026.0342375282,1019026.0342375282,1020902.1471015504
28,1017497.2859652733,1011522.5398096691,1017821.2076266458,1017821.2076266458,1021345.1884911039
29,1017497.2859652733,1011522.5398096691,1017821.2076266458,1017821.2076266458,1021024.7164565647
30,1017178.0213042694,1012399.0925807029,1018703.2186198262,1017501.8413272977,1022230.2532523127
31,1018379.0162584014,1012399.0925807029,1018703.2186198262,1018703.2186198262,1020118.0697159017
32,1018399.9084185561,1010307.2226826805,1018724.1174310289,1016598.3228196758,1022251.2244210277
33,1018399.9084185561,1012419.86206205,1022187.6388604265,1018724.1174310289,1025726.7375274992
34,1021862.3275820477,1023834.6076941353,1030209.9417471001,1022187.6388604265,1033776.8158639765
35,1029882.0773703385,1023834.6076941353,1030209.9417471001,1030209.9417471001,1031208.1531017477
36,1027733.4302585128,1021698.5774425687,1028060.6106105091,1028060.6106105091,1031620.0431435985
37,1027733.4302585128,1021698.5774425687,1028159.2205352125,1028060.6106105091,1031718.9944833609
38,1028855.9274846852,1022814.4833627207,1029183.4651852184,1029183.4651852184,1032746.7853539801
39,1028855.9274846852,1022814.4833627207,1029183.4651852184,1029183.4651852184,1032717.4664384949
40,1028826.71902777,1022785.4464179246,1029951.6486727225,1029154.2474297506,1033517.6285069443
41,1030425.8820438781,1023577.9130363193,1030753.9195416059,1029951.6486727225,1034322.677061308
42,1033250.5832313873,1027183.3336818409,1033579.5199766258,1033579.5199766258,1037158.0605130199
43,1033250.5832313873,1027183.3336818409,1033579.5199766258,1033579.5199766258,1036444.6335695473
44,1032539.844113117,1026476.7680251347,1032868.554593579,1032868.554593579,1034512.6392012223
45,1030615.1285043079,1024563.3543503386,1030943.2262489069,1030943.2262489069,1033684.1762351864
46,1031032.9717074006,1024978.7439772835,1031361.2024729584,1031361.2024729584,1034932.0625755241
47,1031032.9717074006,1024978.7439772835,1031361.2024729584,1031361.2024729584,1034103.1924023287
48,1030207.2242900267,1024157.8453504423,1030535.1921777576,1030535.1921777576,1033355.9672646164
49,1028381.0872233065,1023417.8065490406,1029790.5452154912,1029790.5452154912,1032270.1493737663
50,1028381.0872233065,1024299.4004563236,1028708.4737577889,1028708.4737577889,1034246.122115319
51,1028381.0872233065,1024299.4004563236,1030677.6287356626,1030677.6287356626,1034060.2320469997
52,1028196.2513061351,1024115.298160498,1030492.3800499543,1030492.3800499543,1032478.6394394386
53,1026623.6276428414,1022548.9163051059,1028916.2444633368,1028916.2444633368,1031118.7711302339
54,1025271.4709168968,1021720.1535057159,1028082.3210260302,1027561.0681524436,1031641.8287266326
55,1025791.562342103,1021720.1535057159,1028082.3210260302,1028082.3210260302,1031630.0197190066
56,1025881.0447905036,1021809.280794604,1028172.0033032296,1028172.0033032296,1031731.8215088857
57,1026705.0121321109,1022629.9777759952,1028997.8106973508,1028997.8106973508,1032560.4880785014
58,1028309.2178360163,1024227.8163215831,1030605.5988523915,1030605.5988523915,1034173.8428445049
59,1028309.2178360163,1027241.0042805333,1033637.549685402,1030605.5988523915,1037216.2911368307
60,1031334.4129184823,1027241.0042805333,1033637.549685402,1033637.549685402,1034916.5887034626
61,1029047.7517087887,1024963.4189230856,1031345.7819909061,1031345.7819909061,1034441.7851554666
62,1028575.6406914354,1024493.181733748,1030872.6166731934,1030872.6166731934,1033589.7041741787
63,1027728.3917173257,1023649.2955256099,1030023.4756549139,1030023.4756549139,1032270.1493737663
64,1026416.319889081,1022581.5828680015,1028949.114438238,1028708.4737577889,1032511.6232193594
65,1026656.4243773232,1022581.5828680015,1028949.114438238,1028949.114438238,1031644.06836601
66,1027034.3966197754,1022958.0549231016,1029327.9307539195,1029327.9307539195,1032891.7511027678
67,1027034.3966197754,1022958.0549231016,1029327.9307539195,1029327.9307539195,1032688.3511265895
68,1026832.1500904718,1023277.6629613092,1029649.5289651436,1029125.2325753625,1033214.4627766844
69,1027355.2782503521,1023955.7966095692,1030331.8852959618,1029649.5289651436,1033899.1816154112
70,1028036.1141643141,1023955.7966095692,1030331.8852959618,1030331.8852959618,1033335.199699481
71,1027475.3304944733,1023397.2387131433,1029769.8493053681,1029769.8493053681,1031048.7314987972
72,1025261.7533659394,1021192.447363136,1027551.3289006212,1027551.3289006212,1031108.9981584055
73,1025261.7533659394,1021192.447363136,1028684.328529312,1027551.3289006212,1032245.920547775
74,1025404.0749976715,1022318.4355557865,1028684.328529312,1028684.328529312,1031252.1314749755
75,1025404.0749976715,1022824.9689261193,1029194.0160413594,1027693.9683596056,1032757.3727401275
76,1025404.0749976715,1022824.9689261193,1029194.0160413594,1029194.0160413594,1030880.554941917
77,1025404.0749976715,1019100.9807560134,1027323.6738892688,1027323.6738892688,1028997.2218291542
78,1025404.0749976715,1019100.9807560134,1025446.8389026298,1025446.8389026298,1029036.110112888
79,1025404.0749976715,1019100.9807560134,1026668.506303122,1025485.5930088405,1030223.1189828779
80,1025404.0749976715,1019100.9807560134,1029761.1245589438,1026668.506303122,1033326.4447455514
81,1025404.0749976715,1019100.9807560134,1029761.1245589438,1029761.1245589438,1032994.9781177052
82,1025404.0749976715,1019580.6934766113,1030245.8552381957,1029430.8016012954,1033812.8536975936
83,1025404.0749976715,1019580.6934766113,1030245.8552381957,1030245.8552381957,1033369.4051008804
84,1025404.0749976716,1019786.1125277507,1030453.4230426641,1030453.4230426641,1034021.1401596862
85,1025404.0749976716,1019786.1125277507,1030453.4230426641,1030453.4230426641,1034020.529348947
86,1027999.3855123844,1022367.2039093188,1033061.5135203135,1033061.5135203135,1036638.2605738974
87,1026681.9433847587,1022367.2039093188,1033061.5135203135,1033061.5135203135,1035309.7472159755
88,1026681.9433847587,1022079.6573978511,1032770.9591742738,1031737.5839756844,1036346.7002476837
89,1026681.9433847587,1022122.0263321525,1032813.7713020771,1032770.9591742738,1036389.6606030127
90,1026681.9433847588,1022122.0263321525,1034542.0826984221,1032813.7713020771,1038123.9558953926
91,1031459.3988417415,1028596.6420554512,1039356.113713881,1039356.113713881,1042954.6544287341
92,1033648.9820264011,1030780.1481767498,1041562.46005385,1041562.46005385,1045168.6397550241
93,1034780.4210474237,1031908.446953242,1042702.5612203282,1042702.5612203282,1046312.688269685
94,1034780.4210474237,1031908.446953242,1042702.5612203282,1042702.5612203282,1045734.0468960125
95,1034208.1573532172,1031337.7715443096,1042125.9163520009,1042125.9163520009,1044486.5677628344
96,1033966.7273147396,1031097.0115811464,1041882.6379575166,1041882.6379575166,1045489.9262038824
97,1033966.7273147396,1031465.0791478505,1042254.5556364906,1041882.6379575166,1045863.1315655792
98,1034335.819275148,1032763.6568640945,1043566.7169185007,1042254.5556364906,1047179.835915875
99,1035638.0111507404,1033024.6976915442,1043830.4883220284,1043566.7169185007,1047444.5205695606
100,1035899.7784985479,1033024.6976915442,1043830.4883220284,1043830.4883220284,1047254.1512224867
101,1035711.5073676249,1037633.473900487,1043640.7758125681,1043640.7758125681,1052117.6299321693
102,1040521.3817038361,1036057.3897046003,1048487.4739018487,1048487.4739018487,1050519.5454346477
103,1039379.6733483993,1036057.3897046003,1047337.024780309,1047337.024780309,1050963.1976349407
104,1039379.6733483993,1036057.3897046003,1047337.024780309,1047337.024780309,1049093.302358442
105,1039574.18662377,1034214.0151472894,1047533.0272232378,1045473.5812649259,1051159.8786929871
106,1039574.18662377,1036251.2812357808,1047533.0272232378,1047533.0272232378,1049356.765390649
107,1037790.9469067069,1034473.7414840882,1045736.1352619757,1045736.1352619757,1047557.5205563263
108,1037070.4826217417,1033755.5800984113,1045010.1551990359,1045010.1551990359,1048628.2717822744
109,1042516.0488941284,1039183.7401079837,1050497.4119967292,1050497.4119967292,1054134.5269932535
110,1042516.0488941284,1043016.8110924092,1054372.2139145501,1050497.4119967292,1058022.7445558948
111,1046361.4112334185,1043016.8110924092,1054372.2139145501,1054372.2139145501,1056262.7952124653
112,1045473.617205355,1041281.8231053236,1053477.6230544322,1052618.336982171,1057125.056372741
113,1045473.617205355,1043573.9983497149,1053477.6230544322,1053477.6230544322,1058587.9480933032
114,1046055.5461554807,1043573.9983497149,1054064.0071745822,1054935.4673116216,1057713.4707182422
115,1046055.5461554807,1042711.9236846834,1054064.0071745822,1054064.0071745822,1054833.701686143
116,1046055.5461554808,1039872.9984082674,1054064.0071745822,1051194.1743042015,1057550.180647276
117,1046055.5461554808,1042550.9495563118,1054064.0071745822,1053901.2805087136,1058610.955297816
118,1045696.8695163951,1043596.679243114,1052646.7283076576,1054958.3951336206,1057187.5626717268
119,1045696.8695163951,1042193.4745904397,1052646.7283076576,1053539.9136858808,1058037.607617217
120,1045696.8695163951,1043031.4633509767,1052646.7283076576,1054387.0256933637,1064674.0662994336
121,1045696.8695163951,1049573.7971592895,1052646.7283076576,1061000.5863841202,1066371.712947457
122,1048256.0615097852,1051247.3660899145,1052646.7283076576,1062692.3755861307,1068981.503632797
123,1048256.0615097852,1053820.1421216663,1052646.7283076576,1065293.161624913,1068431.5703638701
124,1047716.7903618568,1049248.838164485,1052646.7283076576,1064745.1258088145,1064344.4321038052
125,1043708.8936482264,1049248.838164485,1052646.7283076576,1060672.0895361884,1064275.2068866873
126,1043641.0105714786,1049248.838164485,1052646.7283076576,1060603.103169112,1062993.3187485302
127,1042383.9757149968,1049248.838164485,1052646.7283076576,1059325.6379717197,1062390.8557560258
128,1043276.8378303378,1049248.838164485,1052646.7283076576,1058725.2536770748,1063903.8339572086
129,1043276.8378303378,1049248.838164485,1052646.7283076576,1060233.0115998548,1062307.7854954845
130,1041711.7335990861,1047674.7748509905,1052646.7283076576,1058642.4700365833,1060060.2055785344
131,1039507.729821973,1047379.399530905,1052646.7283076576,1056402.6450184742,1062008.2846296602
132,1041418.0394640978,1046878.0044430372,1052646.7283076576,1058344.0025484376,1061499.8864910044
133,1040919.4981622181,1046878.0044430372,1052646.7283076576,1057837.358552585,1062728.226887685
134,1042124.0234622745,1047511.9964236496,1053284.2138421063,1059061.4607660328,1063371.8178033005
135,1042755.1364199205,1047511.9964236496,1053284.2138421063,1059702.831078764,1061312.9784047862
136,1040736.2138549992,1045483.86389978,1051244.9054826174,1057651.0953614784,1061207.918957631
137,1040633.1913032291,1046398.2484108877,1051140.8426747161,1057546.398404386,1062241.2071249036
138,1041646.4460517432,1046398.2484108877,1052164.328624519,1058576.121383542,1060273.7857337007
139,1039717.1690793507,1044460.1704264976,1050215.5710416727,1056615.488251013,1056991.28882084
140,1036498.3133048587,1041226.6308151616,1046713.3332083176,1053344.317045111,1056738.0059676208
141,1038033.8684321144,1040977.1255877393,1046713.3332083176,1053091.908102043,1058557.2039527597
142,1038033.8684321144,1042769.1908666927,1046713.3332083176,1054904.8292485964,1058773.6345580427
143,1038246.1028750052,1043592.7185707086,1047325.8415393792,1055120.5130962501,1059393.2002512468
144,1038853.6564118976,1041310.668347549,1047325.8415393792,1055737.9410815847,1057076.5987207587
145,1037810.4532471711,1041310.6683475489,1046274.1307178884,1054677.7829404832,1058329.3715470105
146,1037810.4532471711,1041400.2156280846,1046364.1048302724,1054677.7829404832,1058420.3823471623
147,1038052.236794058,1041553.2673558905,1046517.886087233,1054923.4961479232,1058575.9354820976
148,1038052.236794058,1041553.2673558905,1046517.886087233,1054923.4961479232,1058619.9138553252
149,1037797.2759440377,1041596.5385250082,1046561.3635106668,1054967.3227811246,1058315.9337107465
150,1037797.2759440377,1041297.4466014296,1046260.8459496169,1054664.391469227,1058160.3805758113
151,1037797.2759440377,1041144.3948736237,1046107.0646926563,1054509.3750443845,1056548.654638446
152,1037797.2759440377,1039558.586657248,1044513.6976375518,1052903.210097981,1056210.2654888877
153,1037797.2759440377,1039225.6390504242,1044179.1630183522,1052565.988503625,1054813.9521389063
154,1037797.2759440377,1037851.7794309313,1042302.7901421919,1051174.4928994768,1054312.2729183824
155,1037797.2759440377,1037358.1675758088,1042302.7901421919,1050674.5446392521,1056830.0347856716
156,1037797.2759440377,1039835.4420078078,1042302.7901421919,1053183.6193900388,1059254.139006272
157,1037797.2759440377,1042220.5648759444,1042302.7901421919,1055599.3596441927,1057947.614834964
158,1037797.2759440377,1040935.0505600673,1042302.7901421919,1054297.3434161644,1056299.6474604015
159,1037797.2759440377,1039313.5836950666,1042302.7901421919,1052655.0620775854,1056865.4618085495
160,1038412.0610683977,1040486.312509956,1042302.790142192,1053842.8449977783,1057491.5428163058
161,1038467.2417819989,1040541.6034482733,1042358.1776072503,1053898.845695758,1057547.737404319
162,1038467.2417819989,1040541.6034482733,1042358.1776072503,1053898.845695758,1055984.0619117764
163,1037791.2780403853,1039864.2894538863,1041679.681160287,1053212.8371455064,1056859.3537011566
